"Broad Sector ","Subsector ","Indicator ","Type"
"NOTE: indicators in bold are STANDARD indicators; all others are SUGGESTED indicators",,,
"Climate Change","Adaptation (Adaptive Capacity)","Amount of financial resources allocated to adaptation","Output"
"Climate Change","Adaptation (Adaptive Capacity)","Existence and effectiveness of national and local coordination mechanisms on adaptation","Output"
"Climate Change","Adaptation (Adaptive Capacity)","Number of climate change risk and vulnerability assessments (including national and local levels)","Output"
"Climate Change","Adaptation (Adaptive Capacity)","Number of conflicts over access to natural resources","Outcome"
"Climate Change","Adaptation (Adaptive Capacity)","Proportion of sectoral policies and plans that incorporate analysis of risk and adaptation","Output"
"Climate Change","Adaptation (Adaptive Capacity)","Proportion of staff working on adaptation with technical expertise in adaptation","Output"
"Climate Change","Forestry","Allocation of property rights","Output"
"Climate Change","Forestry","Annual growth (or percentage change) in household income from forest related activities","Outcome"
"Climate Change","Forestry","Area of forest under sustainable forest management (hectares)","Outcome"
"Climate Change","Forestry","Business practices that promote products from legal and sustainable sources","Outcome"
"Climate Change","Forestry","Change in Agro-Forestry (Bio-physical)","Output"
"Climate Change","Forestry","Change in Forest Area (Bio-physical)","Output"
"Climate Change","Forestry","Change in the area of natural forests/indigenous woodlands (Bio-phyiscal)","Output"
"Climate Change","Forestry","Employment in forestry related activities (full time equivalents)","Output"
"Climate Change","Forestry","Extent to which local rules and norms for harvesting exist and are enforced","Output"
"Climate Change","Forestry","Extent to which rules on access and benefit sharing followed (Governance)","Output"
"Climate Change","Forestry","Growing stock per hectare (m3/ha)","Outcome"
"Climate Change","Forestry","Household income from forests/woodlands","Output"
"Climate Change","Forestry","Mechanism for conflict resolution exists (Governance)","Output"
"Climate Change","Forestry","Mechanism to share concession/other revenue agreed (Governance)","Output"
"Climate Change","Forestry","National and local rules and norms for harvesting exist and are enforced","Output"
"Climate Change","Forestry","Number of forest/woodland dependent jobs (Livelihoods)","Output"
"Climate Change","Forestry","Number of illegally issued timber contracts (Governance)","Output"
"Climate Change","Forestry","Percentage of communities aware of the activities of forestry services in their area","Output"
"Climate Change","Forestry","Percentage of communities involved in sustainable forest management","Output"
