"Broad Sector ","Subsector ","Indicator ","Type"
"NOTE: indicators in bold are STANDARD indicators; all others are SUGGESTED indicators",,,
"Humanitarian","Agriculture","Increased household livestock yield (meat, eggs, milk) or cash generated from livestock sales","Outcome"
"Humanitarian","Agriculture","Kilograms of fish captured and/or produced/harvested","Outcome"
"Humanitarian","Agriculture","Measurable improvements in food security obtained by households benefiting from agricultural inputs and/or services","Outcome"
"Humanitarian","Agriculture","Measurable improvements to harvesting and storage of crops","Output"
"Humanitarian","Agriculture","No. of hectares benefiting from agricultural improvements (fertilizers, irrigation, conservation)","Output"
"Humanitarian","Agriculture","No. of households assisted by fishery programmes","Output"
"Humanitarian","Agriculture","No. of households assisted with agricultural services","Output"
"Humanitarian","Agriculture","No. of households assisted with livestock inputs and services","Output"
"Humanitarian","Agriculture","No. of newly cultivated hectares as a direct result of agricultural assistance programmes","Outcome"
"Humanitarian","Agriculture","Post harvest loss reduced through improved harvesting and storage of crops","Outcome"
"Humanitarian","Agriculture","Tonnage of crops produced as a direct result of agricultural input programmes","Outcome"
"Humanitarian","Camp Co-ordination Management (CCM)","Affected displaced populations are afforded appropriate protection in accordance with protection principles (e.g guilding principles on Internal Displacement, Human Rights Law, International Humanitarian Law)","Outcome"
"Humanitarian","Camp Co-ordination Management (CCM)","Appropriate physical environment and camp design to ensure cultural norms and personal/camp security while upholding human rights (e.g. freedom of movement)","Output"
"Humanitarian","Camp Co-ordination Management (CCM)","Camp designed and positioned to allow safe access to sustainable resources and livelihoods","Output"
"Humanitarian","Camp Co-ordination Management (CCM)","Camp management, design and exit strategy produced outlining potential short and long term scenarios (based on principles of do no harm)","Output"
"Humanitarian","Camp Co-ordination Management (CCM)","Minimum surface area per person provided in camp (in line with international standards","Output"
"Humanitarian","Camp Co-ordination Management (CCM)","Number of established and recognised mechanisms for redressing issues and grievances","Output"
"Humanitarian","Camp Co-ordination Management (CCM)","Number of inclusive camp committees established representing the camp population, including vulnerable groups","Output"
"Humanitarian","Camp Co-ordination Management (CCM)","Number of mechanisms in place to control communicable and incommunicable diseases","Output"
"Humanitarian","Camp Co-ordination Management (CCM)","Number of reports of cases of conflict with the affected community, the outside and within the host community","Output"
"Humanitarian","Camp Co-ordination Management (CCM)","Proportion of camp population able to access essential food and non-food items and services in line with international standards","Output"
"Humanitarian","Camp Co-ordination Management (CCM)","Proportion of camp population people able to access legal assistance","Output"
"Humanitarian","Camp Co-ordination Management (CCM)","Proportion of camp population registered with appropriate verification measures in place","Output"
"Humanitarian","Coordination","Adequate quantity of aid and services","Outcome"
"Humanitarian","Coordination","Amount and types of resources available and used for inter-cluster coordination","Output"
"Humanitarian","Coordination","Establishment and usage of accessible IM tools and products across all clusters","Output"
"Humanitarian","Coordination","HC appointed from HC pool within 3 days","Output"
"Humanitarian","Coordination","Inclusion of cross cutting issues (i.e. protection, early recovery DRR etc) in all technical strategic outputs","Output"
"Humanitarian","Coordination","Information Manager appointed for cluster(s) within 7 days","Output"
"Humanitarian","Coordination","Number of agencies participating in cluster meetings","Output"
"Humanitarian","Coordination","Number of clusters activated and dedicated leads appointed within 3 days (adhereing to ToR)","Output"
"Humanitarian","Coordination","Number of countries in which a prioritisation tool is being used","Output"
"Humanitarian","Coordination","Number of countries in which joint needs assessments are carried out","Output"
"Humanitarian","Coordination","Number of dedicated emergency staff mobilised for i) immediate and ii) longer term phases","Output"
"Humanitarian","Coordination","Number of donors financing the pooled fund","Output"
"Humanitarian","Coordination","Number of Humanitarian Country Team meetings","Output"
"Humanitarian","Coordination","Number of local NGOs and CBOs participating in clusters","Output"
"Humanitarian","Coordination","Number of national and local authorities participating in clusters","Output"
"Humanitarian","Coordination","Numbers of clusters having sectoral strategic plans","Output"
"Humanitarian","Coordination","OCHA field vacancy rate","Output"
"Humanitarian","Coordination","Percentage of HCs engaging in performance management process","Output"
"Humanitarian","Coordination","Quality provision of aid and services","Outcome"
"Humanitarian","Coordination","Technical standards defined by cluster and agreed by cluster members within X days","Output"
"Humanitarian","Coordination","Timely provision of aids and services","Outcome"
"Humanitarian","Disaster Risk Reduction (DRR)","A national multi-sectoral platform for disaster preparedness/ DRR is functioning.","Outcome"
"Humanitarian","Disaster Risk Reduction (DRR)","Country wide public awareness strategy exists to stimulate a culture of disaster resilience, with outreach to urban and rural communities.","Outcome"
"Humanitarian","Disaster Risk Reduction (DRR)","Disaster preparedness plans and contingency plans are in place at all administrative levels, and regular training drills and rehearsals are held to test and develop disaster response programmes.","Outcome"
"Humanitarian","Disaster Risk Reduction (DRR)","Early warning systems are in place for all major hazards, with outreach to communities.","Outcome"
"Humanitarian","Disaster Risk Reduction (DRR)","Increase individual household knowledge and skills in disaster preparedness and mitigation, through incorporating risk management concepts in formal and informal education","Output"
"Humanitarian","Disaster Risk Reduction (DRR)","National and local risk assessment based on hazard data and vulnerability information are available and include risk assessments for key sectors.","Outcome"
"Humanitarian","Disaster Risk Reduction (DRR)","National institutional and legal frameworks for disaster risk management exist with decentralised responsibilities and capacities at all levels.","Outcome"
"Humanitarian","Disaster Risk Reduction (DRR)","Number and percent of beneficiaries retaining disaster preparedness, mitigation, and management knowledge two months after training","Output"
"Humanitarian","Disaster Risk Reduction (DRR)","Number of community awareness raising workshops carried out by district government/ NGO.","Output"
"Humanitarian","Disaster Risk Reduction (DRR)","Number of hazard risk reduction plans, policies or curriculum developed","Output"
"Humanitarian","Disaster Risk Reduction (DRR)","Number of households/ proportion of households with increased knowledge and skills in disaster preparedness and response","Output"
"Humanitarian","Disaster Risk Reduction (DRR)","Number of hydro-meteorological policies/procedures modified as a result of the activities to increase preparedness for hydro-meteorological events","Output"
"Humanitarian","Disaster Risk Reduction (DRR)","Number of people trained in disaster preparedness, mitigation, and management","Output"
"Humanitarian","Disaster Risk Reduction (DRR)","Relevant information on disasters is available and accessible at all levels, to all stakeholders.","Outcome"
"Humanitarian","Disaster Risk Reduction (DRR)","School curricula, education material and relevant trainings include disaster preparedness, risk reduction and recovery concepts and practices.","Outcome"
"Humanitarian","Environment","Access rights agreed with host community regarding existing natural resources, such as fuel, water, timber for construction, stone and sand, grasses","Output"
"Humanitarian","Environment","Activities undertaken to protect natural resource-dependent livelihood support activities","Output"
"Humanitarian","Environment","Agricultural or grazing land planned to minimise any adverse impact on the local natural habitat","Output"
"Humanitarian","Environment","An environmental assessment made of natural resource availability and fragility, typical land usage, the distribution of existing vegetation and surface water drainage patterns","Output"
"Humanitarian","Environment","Appropriate environmental rehabilitation measures undertaken during the life of the temporary settlement","Output"
"Humanitarian","Environment","Environmental restoration of the locations of mass shelters or temporary planned camps, unless agreed otherwise, once they are no longer needed for emergency shelter use","Outcome"
"Humanitarian","Environment","Natural resources are sustainably managed to meet the ongoing needs of the displaced and host populations","Outcome"
"Humanitarian","Environment","Number of small settlements","Output"
"Humanitarian","Environment","Roads, pathways and drainage networks planned to make use of natural contours in order to minimise erosion and flooding","Output"
"Humanitarian","Environment","Satisfactory removal of all material or waste that cannot be re-used or that could have an adverse effect on the environment","Output"
"Humanitarian","Environment","Sustainable external supplies of fuel provided","Output"
"Humanitarian","Environment","The production and supply of construction material and the building process minimises the long-term depletion of natural resources","Outcome"
"Humanitarian","Environment","The temporary or permanent settling of the affected population considers the extent of the natural resources available","Outcome"
"Humanitarian","Environment","Trees and other vegetation are retained where possible to increase water retention, minimise soil erosion and to provide shade","Outcome"
"Humanitarian","Food and Nutrition","% of breastfed children aged 6-24 months who receive food from at least 4 food groups each day","Output"
"Humanitarian","Food and Nutrition","% of children 0-59 months with low weight for height, wasting) (moderate, severe and total) or nutritional oedema","Outcome"
"Humanitarian","Food and Nutrition","% of children aged 0-6 months who are exclusively breastfed","Output"
"Humanitarian","Food and Nutrition","% of children aged 6-9 months who are fed at least twice per day, and % of children aged 9-24 months who are fed at least 3 times per day","Output"
"Humanitarian","Food and Nutrition","% of children treated for severe acute malnutrition who default","Outcome"
"Humanitarian","Food and Nutrition","% of children treated for severe acute malnutrition who die","Outcome"
"Humanitarian","Food and Nutrition","% of children treated for severe acute malnutrition who recover","Outcome"
"Humanitarian","Food and Nutrition","% of children under five with severe acute malnutrition (moderate and severe) receiving treatment","Output"
"Humanitarian","Food and Nutrition","All targeted households (of a food assistance programme) have access to the necessary inputs to protect and restart primary production to the level of pre-disaster, when justified, and in accordance with the agricultural calendar","Output"
"Humanitarian","Food and Nutrition","All targeted households are given cash or vouchers, where it is considered (or assessed) to be operationally viable, at market value of required inputs, giving households the absolute choice on livelihoods options","Output"
"Humanitarian","Food and Nutrition","All targeted people (in a food assistance programme) get responses ensuring their primary needs, preventing erosion of their assets, giving them choice and promoting their dignity - throughout project implementation","Output"
"Humanitarian","Food and Nutrition","All targeted populations have safe and full access to market goods, services and systems throughout the project duration","Output"
